doc_id,category,title,content,source,url,last_updated
KB003,教务选课,成绩查询与复核,课程成绩发布后，学生可在教务系统成绩查询模块查看成绩。若对成绩有疑问，应在成绩公布后5个工作日内提交成绩复核申请。复核主要检查登分、统分和漏判情况，不重新评阅主观题。,校园教务办事指南,https://example.edu/jw/grade,2026-04-01
KB030,校园活动,教室借用申请,学生组织开展班会、讲座或社团活动需要借用教室时，应通过教室借用系统提交申请，填写活动主题、时间、人数和负责人。申请需经指导老师或学院审核，严禁私自占用教学场所。,校园活动管理指南,https://example.edu/activity/classroom,2026-04-01
KB031,校园活动,社团活动审批,学生社团举办校内活动需提前提交活动审批表，说明活动内容、地点、安全预案和经费来源。涉及校外人员、商业赞助或大型聚集的活动，应按学校规定提高审批层级。,校园活动管理指南,https://example.edu/activity/club,2026-04-01
KB032,校园活动,志愿服务时长认定,学生参加校内外志愿服务后，应在志愿服务平台提交活动记录和证明材料。学院或活动组织方审核通过后，服务时长计入个人记录。虚假申报将影响评优评奖。,校园活动管理指南,https://example.edu/activity/volunteer,2026-04-01
KB015,校园网络,校园网账号开通,新生入学后可使用统一身份认证账号登录校园网自助服务系统，按页面提示开通网络服务。账号通常与学号绑定，初始密码为统一认证密码。若无法登录，可到网络信息中心服务窗口咨询。,网络信息中心服务指南,https://example.edu/net/account,2026-04-01
KB016,校园网络,校园网故障处理,遇到校园网无法连接、认证失败或网速异常时，建议先检查网线、无线信号和账号状态，再重启终端网络连接。若问题仍存在，可通过网络报修系统提交故障单，并附上宿舍号、联系方式和错误截图。,网络信息中心服务指南,https://example.edu/net/repair,2026-04-01
KB017,校园网络,统一身份认证密码重置,忘记统一身份认证密码时，可通过认证平台的找回密码功能使用绑定手机号或邮箱重置。若绑定信息不可用，需本人携带学生证或身份证到网络信息中心人工重置。,网络信息中心服务指南,https://example.edu/net/password,2026-04-01
KB024,生活服务,校医院就诊流程,学生在校医院就诊需携带校园卡或医保凭证，先挂号再到对应科室就诊。急诊可直接到急诊窗口处理。需要转诊时，应按校医院医生意见办理转诊手续，并保存相关票据。,校园生活服务指南,https://example.edu/life/clinic,2026-04-01
KB025,生活服务,食堂投诉与建议,学生对食堂菜品质量、价格、卫生或服务有意见时，可通过后勤服务平台、食堂意见箱或服务热线反馈。反馈时建议提供食堂名称、窗口、时间和照片，便于后勤部门核查处理。,校园生活服务指南,https://example.edu/life/canteen,2026-04-01
KB026,生活服务,校内快递领取,校内快递驿站一般按短信或取件码通知领取。学生应携带取件码或有效证件，在营业时间内领取快递。大件物品可咨询驿站工作人员。快递滞留超过规定时间可能被退回。,校园生活服务指南,https://example.edu/life/express,2026-04-01
KB004,考试管理,期末考试安排查询,期末考试安排一般在考试周前两周公布。学生可通过教务系统、学院通知群或教学秘书发布的考试安排表查询考试时间、地点和座位。参加考试时需携带学生证或校园卡等有效证件。,考试管理办法摘要,https://example.edu/exam/schedule,2026-04-01
KB005,考试管理,缓考申请流程,学生因病或不可抗力无法参加考试时，应在考试前提交缓考申请，并上传医院证明、交通证明等材料。经任课教师、学院和教务处审核通过后，可参加学校统一组织的缓考。无故缺考按课程考核规定处理。,考试管理办法摘要,https://example.edu/exam/defer,2026-04-01
